Name,Count,Year,Month
Manhattan Bridge Bike Comprehensive,41501,2013,12
Manhattan Bridge Bike Comprehensive,32873,2014,1
Manhattan Bridge Bike Comprehensive,24676,2014,2
Manhattan Bridge Bike Comprehensive,56659,2014,3
Manhattan Bridge Bike Comprehensive,108965,2014,4
Manhattan Bridge Bike Comprehensive,146262,2014,5
Manhattan Bridge Bike Comprehensive,158570,2014,6
Manhattan Bridge Bike Comprehensive,158102,2014,7
Manhattan Bridge Bike Comprehensive,165104,2014,8
Manhattan Bridge Bike Comprehensive,161397,2014,9
Manhattan Bridge Bike Comprehensive,136254,2014,10
Manhattan Bridge Bike Comprehensive,79791,2014,11
Manhattan Bridge Bike Comprehensive,55044,2014,12
Manhattan Bridge Bike Comprehensive,34361,2015,1
Manhattan Bridge Bike Comprehensive,18995,2015,2
Manhattan Bridge Bike Comprehensive,50339,2015,3
Manhattan Bridge Bike Comprehensive,121484,2015,4
Manhattan Bridge Bike Comprehensive,175810,2015,5
Manhattan Bridge Bike Comprehensive,149593,2015,6
Manhattan Bridge Bike Comprehensive,161674,2015,7
Manhattan Bridge Bike Comprehensive,167811,2015,8
Manhattan Bridge Bike Comprehensive,161808,2015,9
Manhattan Bridge Bike Comprehensive,133530,2015,10
Manhattan Bridge Bike Comprehensive,103075,2015,11
Manhattan Bridge Bike Comprehensive,76119,2015,12
Manhattan Bridge Bike Comprehensive,46017,2016,1
Manhattan Bridge Bike Comprehensive,49091,2016,2
Manhattan Bridge Bike Comprehensive,102377,2016,3
Manhattan Bridge Bike Comprehensive,116938,2016,4
Manhattan Bridge Bike Comprehensive,138758,2016,5
Manhattan Bridge Bike Comprehensive,174338,2016,6
Manhattan Bridge Bike Comprehensive,148355,2016,7
Manhattan Bridge Bike Comprehensive,157249,2016,8
Manhattan Bridge Bike Comprehensive,166634,2016,9
Manhattan Bridge Bike Comprehensive,140427,2016,10
Manhattan Bridge Bike Comprehensive,102012,2016,11
Manhattan Bridge Bike Comprehensive,60959,2016,12
Manhattan Bridge Bike Comprehensive,54874,2017,1
Manhattan Bridge Bike Comprehensive,67748,2017,2
Manhattan Bridge Bike Comprehensive,59432,2017,3
Manhattan Bridge Bike Comprehensive,125235,2017,4
Manhattan Bridge Bike Comprehensive,147692,2017,5
Manhattan Bridge Bike Comprehensive,166715,2017,6
Manhattan Bridge Bike Comprehensive,160719,2017,7
Manhattan Bridge Bike Comprehensive,169671,2017,8
Manhattan Bridge Bike Comprehensive,168731,2017,9
Manhattan Bridge Bike Comprehensive,156738,2017,10
Manhattan Bridge Bike Comprehensive,101328,2017,11
Manhattan Bridge Bike Comprehensive,61146,2017,12
Manhattan Bridge Bike Comprehensive,47660,2018,1
Manhattan Bridge Bike Comprehensive,61260,2018,2
Manhattan Bridge Bike Comprehensive,66667,2018,3
Manhattan Bridge Bike Comprehensive,103188,2018,4
Manhattan Bridge Bike Comprehensive,165118,2018,5
Manhattan Bridge Bike Comprehensive,167178,2018,6
Manhattan Bridge Bike Comprehensive,152384,2018,7
Manhattan Bridge Bike Comprehensive,152226,2018,8
Manhattan Bridge Bike Comprehensive,136711,2018,9
Manhattan Bridge Bike Comprehensive,144651,2018,10
Manhattan Bridge Bike Comprehensive,84194,2018,11
Manhattan Bridge Bike Comprehensive,64883,2018,12
Manhattan Bridge Bike Comprehensive,59462,2019,1
Manhattan Bridge Bike Comprehensive,57236,2019,2
Manhattan Bridge Bike Comprehensive,83491,2019,3
Manhattan Bridge Bike Comprehensive,129396,2019,4
Manhattan Bridge Bike Comprehensive,133921,2019,5
Manhattan Bridge Bike Comprehensive,137100,2019,6
Manhattan Bridge Bike Comprehensive,143607,2019,7
Manhattan Bridge Bike Comprehensive,153621,2019,8
Manhattan Bridge Bike Comprehensive,160866,2019,9
Manhattan Bridge Bike Comprehensive,129664,2019,10
Manhattan Bridge Bike Comprehensive,92170,2019,11
Manhattan Bridge Bike Comprehensive,51472,2019,12
Manhattan Bridge Bike Comprehensive,75863,2020,1
Manhattan Bridge Bike Comprehensive,65992,2020,2
Manhattan Bridge Bike Comprehensive,87910,2020,3
Manhattan Bridge Bike Comprehensive,56737,2020,4
Manhattan Bridge Bike Comprehensive,118842,2020,5
Manhattan Bridge Bike Comprehensive,161317,2020,6
Manhattan Bridge Bike Comprehensive,166917,2020,7
Manhattan Bridge Bike Comprehensive,179371,2020,8
Manhattan Bridge Bike Comprehensive,199221,2020,9
Manhattan Bridge Bike Comprehensive,175803,2020,10
Manhattan Bridge Bike Comprehensive,136032,2020,11
Manhattan Bridge Bike Comprehensive,82544,2020,12
Manhattan Bridge Bike Comprehensive,81689,2021,1
Manhattan Bridge Bike Comprehensive,42539,2021,2
Manhattan Bridge Bike Comprehensive,108486,2021,3
Manhattan Bridge Bike Comprehensive,134557,2021,4
Manhattan Bridge Bike Comprehensive,167476,2021,5
Manhattan Bridge Bike Comprehensive,181998,2021,6
Manhattan Bridge Bike Comprehensive,166415,2021,7
Manhattan Bridge Bike Comprehensive,168633,2021,8
Manhattan Bridge Bike Comprehensive,183003,2021,9
Manhattan Bridge Bike Comprehensive,165068,2021,10
Manhattan Bridge Bike Comprehensive,119039,2021,11
Manhattan Bridge Bike Comprehensive,94152,2021,12
Manhattan Bridge Bike Comprehensive,56184,2022,1
Manhattan Bridge Bike Comprehensive,67959,2022,2
Manhattan Bridge Bike Comprehensive,107571,2022,3
Manhattan Bridge Bike Comprehensive,133735,2022,4
Manhattan Bridge Bike Comprehensive,157650,2022,5
Manhattan Bridge Bike Comprehensive,174993,2022,6
Manhattan Bridge Bike Comprehensive,171824,2022,7
Manhattan Bridge Bike Comprehensive,184333,2022,8
Manhattan Bridge Bike Comprehensive,182313,2022,9
Manhattan Bridge Bike Comprehensive,149474,2022,10
Manhattan Bridge Bike Comprehensive,122173,2022,11
Manhattan Bridge Bike Comprehensive,76804,2022,12
Manhattan Bridge Bike Comprehensive,90519,2023,1
Manhattan Bridge Bike Comprehensive,85709,2023,2
Manhattan Bridge Bike Comprehensive,104645,2023,3
Manhattan Bridge Bike Comprehensive,135447,2023,4
Manhattan Bridge Bike Comprehensive,168912,2023,5
Manhattan Bridge Bike Comprehensive,151259,2023,6
Manhattan Bridge Bike Comprehensive,153454,2023,7
Manhattan Bridge Bike Comprehensive,171517,2023,8
Manhattan Bridge Bike Comprehensive,132079,2023,9
Manhattan Bridge Ped Path,1341,2013,12
Manhattan Bridge Ped Path,1219,2014,1
Manhattan Bridge Ped Path,1095,2014,2
Manhattan Bridge Ped Path,1992,2014,3
Manhattan Bridge Ped Path,3539,2014,4
Manhattan Bridge Ped Path,4570,2014,5
Manhattan Bridge Ped Path,4846,2014,6
Manhattan Bridge Ped Path,5362,2014,7
Manhattan Bridge Ped Path,4827,2014,8
Manhattan Bridge Ped Path,3604,2014,9
Manhattan Bridge Ped Path,3005,2014,10
Manhattan Bridge Ped Path,1922,2014,11
Manhattan Bridge Ped Path,1708,2014,12
Manhattan Bridge Ped Path,1270,2015,1
Manhattan Bridge Ped Path,871,2015,2
Manhattan Bridge Ped Path,1739,2015,3
Manhattan Bridge Ped Path,3687,2015,4
Manhattan Bridge Ped Path,5394,2015,5
Manhattan Bridge Ped Path,5006,2015,6
Manhattan Bridge Ped Path,6284,2015,7
Manhattan Bridge Ped Path,6841,2015,8
Manhattan Bridge Ped Path,6031,2015,9
